iter	Passed	Remaining
1356	6353	35785
1357	6358	35781
1358	6362	35774
1359	6367	35770
1360	6373	35772
1361	6377	35766
1362	6382	35763
1363	6388	35762
1364	6392	35755
1365	6396	35746
1366	6400	35738
1367	6405	35736
1368	6409	35729
1369	6413	35721
1370	6418	35718
1371	6423	35712
1372	6427	35705
1373	6431	35697
1374	6436	35694
1375	6440	35687
1376	6445	35680
1377	6450	35679
1378	6454	35673
1379	6459	35669
1380	6464	35662
1381	6469	35660
1382	6473	35652
1383	6477	35644
1384	6481	35638
1385	6486	35635
1386	6491	35630
1387	6496	35626
1388	6501	35624
1389	6505	35616
1390	6509	35608
1391	6514	35606
1392	6518	35598
1393	6523	35591
1394	6527	35583
1395	6532	35582
1396	6536	35576
1397	6541	35570
1398	6546	35569
1399	6551	35566
1400	6555	35559
1401	6610	35824
1402	6616	35826
1403	6621	35825
1404	6626	35823
1405	6634	35835
1406	6640	35837
1407	6647	35842
1408	6652	35841
1409	6658	35840
1410	6664	35844
1411	6669	35839
1412	6674	35838
1413	6680	35839
1414	6684	35832
1415	6688	35825
1416	6694	35823
1417	6698	35816
1418	6702	35809
1419	6706	35801
1420	6711	35795
1421	6717	35799
1422	6732	35850
1423	6737	35842
1424	6743	35844
1425	6747	35837
1426	6751	35829
1427	6757	35830
1428	6761	35823
1429	6765	35815
1430	6769	35807
1431	6775	35805
1432	6779	35798
1433	6783	35790
1434	6788	35786
1435	6792	35778
1436	6796	35771
1437	6800	35763
1438	6805	35759
1439	6809	35752
1440	6813	35743
1441	6817	35735
1442	6822	35729
1443	6826	35721
1444	6830	35712
1445	6835	35709
1446	6839	35702
1447	6843	35693
1448	6848	35687
1449	6853	35685
1450	6857	35677
1451	6861	35668
1452	6866	35664
1453	6871	35662
1454	6875	35654
1455	6879	35646
1456	6885	35644
1457	6889	35638
1458	6893	35631
1459	6897	35623
1460	6902	35620
1461	6907	35614
1462	6911	35606
1463	6917	35605
1464	6921	35600
1465	6925	35592
1466	6929	35584
1467	6935	35584
1468	6939	35576
1469	6943	35568
1470	6948	35565
1471	6953	35559
1472	6958	35555
1473	6962	35549
1474	6968	35549
1475	6972	35542
1476	6976	35534
1477	6981	35532
1478	6985	35525
1479	6990	35516
1480	6994	35508
1481	6999	35506
1482	7003	35497
1483	7007	35490
1484	7012	35489
1485	7017	35485
1486	7021	35478
1487	7026	35470
1488	7031	35468
1489	7036	35463
1490	7040	35457
1491	7046	35459
1492	7050	35451
1493	7054	35443
1494	7058	35434
1495	7064	35433
1496	7068	35426
1497	7072	35418
1498	7078	35421
1499	7082	35414
1500	7087	35408
1501	7092	35406
1502	7097	35401
1503	7101	35395
1504	7105	35387
1505	7110	35384
1506	7115	35378
1507	7119	35370
1508	7123	35362
1509	7128	35361
1510	7133	35355
1511	7137	35347
1512	7142	35344
1513	7146	35337
1514	7150	35330
1515	7155	35322
1516	7160	35320
1517	7164	35312
1518	7168	35304
1519	7173	35302
1520	7177	35295
1521	7182	35287
1522	7186	35280
1523	7191	35279
1524	7196	35272
1525	7200	35265
1526	7205	35263
1527	7209	35255
1528	7213	35248
1529	7217	35240
1530	7222	35236
1531	7226	35229
1532	7231	35222
1533	7235	35214
1534	7240	35212
1535	7244	35205
1536	7248	35196
1537	7254	35196
1538	7259	35193
1539	7264	35190
1540	7268	35184
1541	7274	35181
1542	7278	35177
1543	7283	35172
1544	7288	35170
1545	7293	35164
1546	7297	35156
1547	7302	35154
1548	7307	35151
1549	7311	35144
1550	7316	35139
1551	7322	35139
1552	7327	35135
1553	7331	35128
1554	7337	35132
1555	7341	35124
1556	7346	35116
1557	7351	35116
1558	7356	35110
1559	7360	35103
1560	7364	35095
1561	7369	35093
1562	7374	35087
1563	7378	35079
1564	7383	35075
1565	7387	35070
1566	7392	35064
1567	7396	35056
1568	7401	35054
1569	7405	35047
1570	7409	35039
1571	7414	35034
1572	7418	35027
1573	7422	35020
1574	7427	35014
1575	7432	35009
1576	7436	35004
1577	7441	35001
1578	7447	35000
1579	7451	34995
1580	7456	34988
1581	7461	34985
1582	7466	34982
1583	7470	34976
1584	7474	34969
1585	7480	34967
1586	7484	34960
1587	7488	34952
1588	7492	34945
1589	7497	34941
1590	7501	34934
1591	7505	34926
1592	7511	34925
1593	7516	34924
1594	7521	34921
1595	7526	34917
1596	7531	34910
1597	7535	34903
1598	7539	34895
1599	7544	34891
1600	7548	34887
